date,city,no_stations,aqi_category,aqi,prominent_pollutant
2017-07-05,Rohtak,1,Good,40,SO2
2017-07-10,Haldia,1,Good,40,SO2
2017-07-13,Haldia,1,Good,36,SO2
2017-07-14,Delhi,8,Satisfactory,76,"O3, SO2"
2017-07-18,Haldia,1,Good,49,SO2
2017-07-19,Bengaluru,5,Good,46,"PM2.5, SO2"
2017-07-21,Bengaluru,5,Satisfactory,56,"PM2.5, SO2"
2017-07-25,Jorapokhar,1,Good,18,SO2
2017-08-29,Hyderabad,5,Good,45,"O3, SO2"
2017-09-10,Bengaluru,4,Good,48,"NO2, SO2"
2017-09-12,Bengaluru,4,Satisfactory,59,"PM2.5, SO2"
2017-09-15,Bengaluru,4,Good,41,"CO, SO2"
2017-09-23,Ghaziabad,1,Satisfactory,64,SO2
2017-09-24,Haldia,1,Satisfactory,62,SO2
2017-10-02,Haldia,1,Good,37,SO2
2017-10-10,Durgapur,1,Satisfactory,54,SO2
2017-10-21,Visakhapatnam,2,Satisfactory,74,"PM2.5, SO2"
2017-12-06,Navi Mumbai,1,Good,39,SO2
2017-12-18,Thane,1,Moderate,119,SO2
2018-02-03,Pune,1,Satisfactory,89,SO2
2018-02-12,Navi Mumbai,1,Satisfactory,63,SO2
2018-03-02,Ahmedabad,1,Moderate,130,SO2
2018-03-03,Ahmedabad,1,Moderate,111,SO2
2018-03-04,Jalandhar,1,Satisfactory,67,SO2
2018-03-20,Pune,1,Satisfactory,82,SO2
2018-03-21,Pune,1,Satisfactory,81,SO2
2018-04-29,Pune,1,Satisfactory,81,SO2
2018-05-01,Muzaffarpur,1,Moderate,112,SO2
2018-05-02,Muzaffarpur,1,Moderate,108,SO2
2018-05-03,Muzaffarpur,1,Moderate,104,SO2
2018-05-08,Muzaffarpur,1,Moderate,109,SO2
2018-05-10,Ahmedabad,1,Satisfactory,69,SO2
2018-05-11,Navi Mumbai,1,Satisfactory,79,SO2
2018-05-14,Ahmedabad,1,Satisfactory,96,SO2
2018-05-28,Ahmedabad,1,Moderate,108,SO2
2018-05-28,Haldia,1,Good,22,SO2
2018-06-08,Muzaffarpur,1,Moderate,104,SO2
2018-06-22,Rohtak,1,Satisfactory,73,SO2
2018-06-24,Muzaffarpur,1,Satisfactory,99,SO2
2018-06-28,Ahmedabad,1,Satisfactory,66,SO2
2018-06-29,Haldia,1,Good,26,SO2
2018-06-29,Muzaffarpur,1,Satisfactory,97,SO2
2018-07-08,Durgapur,1,Satisfactory,82,SO2
2018-07-12,Haldia,1,Good,25,SO2
2018-07-13,Haldia,1,Good,21,SO2
2018-07-16,Haldia,1,Good,23,SO2
2018-07-17,Haldia,1,Good,25,SO2
2018-07-20,Thane,1,Good,48,SO2
2018-07-23,Durgapur,1,Satisfactory,63,SO2
2018-07-25,Patna,1,Satisfactory,66,SO2
2018-07-27,Patna,1,Satisfactory,68,SO2
2018-07-27,Thane,1,Satisfactory,62,SO2
2018-07-28,Thane,1,Good,46,SO2
2018-07-29,Thane,1,Satisfactory,78,SO2
2018-07-30,Thane,1,Satisfactory,75,SO2
2018-08-01,Thane,1,Satisfactory,57,SO2
2018-08-02,Thane,1,Satisfactory,50,SO2
2018-08-03,Ahmedabad,1,Moderate,101,SO2
2018-08-04,Ahmedabad,1,Satisfactory,95,SO2
2018-08-06,Thane,1,Satisfactory,55,SO2
2018-08-07,Ahmedabad,1,Moderate,109,SO2
2018-08-07,Thane,1,Satisfactory,53,SO2
2018-08-09,Ahmedabad,1,Satisfactory,58,SO2
2018-08-12,Thane,1,Good,29,SO2
2018-08-13,Thane,1,Good,36,SO2
2018-08-18,Ahmedabad,1,Satisfactory,89,SO2
2018-08-19,Ahmedabad,1,Moderate,126,SO2
2018-08-22,Ahmedabad,1,Moderate,115,SO2
2018-08-23,Ahmedabad,1,Moderate,117,SO2
2018-08-25,Ahmedabad,1,Moderate,106,SO2
2018-08-26,Ahmedabad,1,Satisfactory,87,SO2
2018-08-26,Lucknow,3,Satisfactory,56,"CO, PM2.5, SO2"
2018-08-26,Rohtak,1,Good,44,SO2
2018-09-01,Ahmedabad,1,Satisfactory,87,SO2
2018-09-02,Ahmedabad,1,Moderate,103,SO2
2018-09-02,Mandi Gobindgarh,1,Good,36,SO2
2018-09-03,Mandi Gobindgarh,1,Good,37,SO2
2018-09-05,Pune,1,Satisfactory,52,SO2
2018-09-09,Ahmedabad,1,Satisfactory,98,SO2
2018-09-10,Ahmedabad,1,Moderate,110,SO2
2018-09-11,Ahmedabad,1,Satisfactory,87,SO2
2018-09-13,Ahmedabad,1,Satisfactory,85,SO2
2018-09-14,Ahmedabad,1,Satisfactory,76,SO2
2018-09-15,Asansol,1,Satisfactory,68,SO2
2018-09-24,Haldia,1,Good,39,SO2
2018-09-29,Ludhiana,1,Good,45,SO2
2018-10-04,Ludhiana,1,Satisfactory,66,SO2
2018-10-05,Chennai,3,Satisfactory,55,"CO, PM2.5, SO2"
2018-11-04,Pune,1,Satisfactory,91,SO2
2018-11-05,Chennai,3,Satisfactory,66,"CO, PM2.5, SO2"
2018-11-05,Pune,1,Satisfactory,98,SO2
2018-11-06,Pune,1,Satisfactory,99,SO2
2019-01-29,Chennai,2,Good,46,"O3, SO2"
2019-01-29,Durgapur,1,Moderate,119,SO2
2019-02-19,Ambala,1,Satisfactory,71,SO2
2019-03-02,Chennai,3,Moderate,165,"PM2.5, SO2"
2019-03-03,Chennai,3,Satisfactory,74,"O3, PM2.5, SO2"
2019-03-04,Siliguri,1,Very Poor,305,SO2
2019-04-18,Manesar,1,Satisfactory,61,SO2
2019-05-04,Durgapur,1,Good,18,SO2
2019-05-18,Ahmedabad,1,Satisfactory,98,SO2
2019-06-02,Ahmedabad,1,Moderate,116,SO2
2019-06-10,Vapi,1,Satisfactory,55,SO2
2019-06-11,Vapi,1,Satisfactory,52,SO2
2019-06-12,Pune,1,Satisfactory,62,SO2
2019-06-13,Pune,1,Satisfactory,65,SO2
2019-06-14,Pune,1,Satisfactory,62,SO2
2019-06-14,Vapi,1,Good,47,SO2
2019-06-15,Pune,1,Satisfactory,61,SO2
2019-06-15,Vapi,1,Good,43,SO2
2019-06-16,Pune,1,Satisfactory,61,SO2
2019-06-17,Pune,1,Satisfactory,60,SO2
2019-06-17,Vapi,1,Satisfactory,53,SO2
2019-06-18,Pune,1,Satisfactory,61,SO2
2019-06-18,Vapi,1,Good,48,SO2
2019-06-19,Pune,1,Satisfactory,62,SO2
2019-06-23,Singrauli,1,Satisfactory,56,SO2
2019-06-25,Pune,1,Satisfactory,64,SO2
2019-06-26,Pune,1,Satisfactory,63,SO2
2019-06-27,Pune,1,Satisfactory,63,SO2
2019-06-29,Pune,1,Satisfactory,63,SO2
2019-06-30,Kalyan,1,Satisfactory,51,SO2
2019-06-30,Pune,1,Satisfactory,63,SO2
2019-07-01,Pune,1,Satisfactory,62,SO2
2019-07-02,Pune,1,Satisfactory,64,SO2
2019-07-02,Vapi,1,Good,38,SO2
2019-07-03,Pune,1,Satisfactory,64,SO2
2019-07-03,Vapi,1,Good,39,SO2
2019-07-04,Pune,1,Satisfactory,62,SO2
2019-07-05,Pune,1,Satisfactory,64,SO2
2019-07-05,Singrauli,1,Satisfactory,67,SO2
2019-07-06,Pune,1,Satisfactory,63,SO2
2019-07-07,Pune,1,Satisfactory,62,SO2
2019-07-07,Singrauli,1,Good,42,SO2
2019-07-08,Pune,1,Satisfactory,61,SO2
2019-07-08,Singrauli,1,Good,32,SO2
2019-07-08,Vapi,1,Good,47,SO2
2019-07-09,Pune,1,Satisfactory,63,SO2
2019-07-11,Hubballi,1,Good,27,SO2
2019-07-11,Pune,1,Satisfactory,87,SO2
2019-07-13,Pune,1,Satisfactory,68,SO2
2019-07-14,Kalyan,1,Good,40,SO2
2019-07-14,Pune,1,Satisfactory,68,SO2
2019-07-16,Jalandhar,1,Satisfactory,98,SO2
2019-07-17,Jalandhar,1,Satisfactory,80,SO2
2019-07-17,Pune,1,Satisfactory,68,SO2
2019-07-19,Pune,1,Satisfactory,68,SO2
2019-07-20,Pune,1,Satisfactory,68,SO2
2019-07-21,Pune,1,Satisfactory,68,SO2
2019-07-22,Hubballi,1,Good,26,SO2
2019-07-22,Pune,1,Satisfactory,68,SO2
2019-07-23,Pune,1,Satisfactory,68,SO2
2019-07-24,Patna,1,Satisfactory,60,SO2
2019-07-24,Pune,1,Satisfactory,68,SO2
2019-07-26,Pune,1,Satisfactory,68,SO2
2019-07-27,Ahmedabad,1,Moderate,103,SO2
2019-07-27,Pune,1,Satisfactory,68,SO2
2019-07-28,Ahmedabad,1,Satisfactory,97,SO2
2019-07-28,Panipat,1,Good,34,SO2
2019-07-28,Patna,1,Satisfactory,63,SO2
2019-07-28,Pune,1,Satisfactory,68,SO2
2019-07-29,Panipat,1,Good,37,SO2
2019-07-29,Pune,1,Satisfactory,68,SO2
2019-07-30,Panipat,1,Good,40,SO2
2019-07-30,Pune,1,Satisfactory,74,SO2
2019-07-30,Satna,1,Good,36,SO2
2019-07-30,Singrauli,1,Good,48,SO2
2019-07-31,Hyderabad,4,Good,25,"O3, SO2"
2019-07-31,Panipat,1,Good,44,SO2
2019-07-31,Pune,1,Satisfactory,74,SO2
2019-07-31,Singrauli,1,Satisfactory,53,SO2
2019-08-01,Pune,1,Satisfactory,74,SO2
2019-08-01,Singrauli,1,Good,41,SO2
2019-08-02,Kalyan,1,Good,37,SO2
2019-08-02,Pune,1,Satisfactory,74,SO2
2019-08-03,Jalandhar,1,Satisfactory,89,SO2
2019-08-03,Pune,1,Satisfactory,74,SO2
2019-08-04,Patna,1,Satisfactory,63,SO2
2019-08-04,Pune,1,Satisfactory,75,SO2
2019-08-05,Pune,1,Satisfactory,74,SO2
2019-08-06,Amaravati,1,Good,26,SO2
2019-08-06,Kalyan,1,Good,48,SO2
2019-08-06,Pune,1,Satisfactory,74,SO2
2019-08-07,Kalyan,1,Good,43,SO2
2019-08-07,Pune,1,Satisfactory,74,SO2
2019-08-08,Pune,1,Satisfactory,74,SO2
2019-08-08,Satna,1,Good,41,SO2
2019-08-09,Pune,1,Satisfactory,74,SO2
2019-08-09,Singrauli,1,Satisfactory,57,SO2
2019-08-10,Pune,1,Satisfactory,74,SO2
2019-08-11,Pune,1,Satisfactory,74,SO2
2019-08-12,Pune,1,Satisfactory,74,SO2
2019-08-13,Panipat,1,Satisfactory,89,SO2
2019-08-13,Pune,1,Satisfactory,74,SO2
2019-08-14,Panipat,1,Satisfactory,98,SO2
2019-08-14,Pune,1,Satisfactory,74,SO2
2019-08-14,Singrauli,1,Satisfactory,53,SO2
2019-08-15,Pune,1,Satisfactory,74,SO2
2019-08-16,Patna,1,Satisfactory,61,SO2
2019-08-16,Pune,1,Satisfactory,74,SO2
2019-08-16,Ratlam,1,Good,37,SO2
2019-08-17,Hisar,1,Good,45,SO2
2019-08-17,Patna,1,Satisfactory,62,SO2
2019-08-17,Pune,1,Satisfactory,74,SO2
2019-08-18,Ambala,1,Good,37,SO2
2019-08-18,Karnal,1,Good,37,SO2
2019-08-18,Pune,1,Satisfactory,74,SO2
2019-08-19,Ambala,1,Good,40,SO2
2019-08-19,Pune,1,Satisfactory,74,SO2
2019-08-20,Pune,1,Satisfactory,74,SO2
2019-08-21,Pune,1,Satisfactory,74,SO2
2019-08-22,Pune,1,Satisfactory,74,SO2
2019-08-23,Pune,1,Satisfactory,74,SO2
2019-08-24,Patna,1,Satisfactory,63,SO2
2019-08-24,Pune,1,Satisfactory,74,SO2
2019-08-25,Karnal,1,Satisfactory,68,SO2
2019-08-25,Pune,1,Satisfactory,74,SO2
2019-08-26,Pune,1,Satisfactory,74,SO2
2019-08-27,Mumbai,7,Satisfactory,61,"PM10, SO2"
2019-08-27,Pune,1,Satisfactory,74,SO2
2019-08-28,Pune,1,Satisfactory,74,SO2
2019-08-29,Pune,1,Satisfactory,74,SO2
2019-08-30,Kalyan,1,Satisfactory,73,SO2
2019-08-30,Pune,1,Satisfactory,74,SO2
2019-08-31,Kalyan,1,Satisfactory,73,SO2
2019-08-31,Pune,1,Satisfactory,74,SO2
2019-08-31,Talcher,1,Satisfactory,64,SO2
2019-09-01,Kalyan,1,Satisfactory,71,SO2
2019-09-01,Pune,1,Satisfactory,74,SO2
2019-09-02,Kalyan,1,Satisfactory,71,SO2
2019-09-02,Pune,1,Satisfactory,74,SO2
2019-09-03,Kalyan,1,Satisfactory,70,SO2
2019-09-03,Pune,1,Satisfactory,74,SO2
2019-09-04,Pune,1,Satisfactory,74,SO2
2019-09-05,Hubballi,1,Good,33,SO2
2019-09-05,Kalyan,1,Satisfactory,71,SO2
2019-09-05,Muzaffarpur,1,Good,49,SO2
2019-09-05,Pune,1,Satisfactory,74,SO2
2019-09-05,Singrauli,1,Good,39,SO2
2019-09-06,Haldia,1,Good,15,SO2
2019-09-06,Hubballi,1,Good,33,SO2
2019-09-06,Hyderabad,6,Good,28,"PM10, PM2.5, SO2"
2019-09-06,Kalyan,1,Satisfactory,71,SO2
2019-09-06,Navi Mumbai,3,Good,44,"CO, O3, SO2"
2019-09-06,Pune,1,Satisfactory,74,SO2
2019-09-07,Hyderabad,6,Good,27,"PM10, PM2.5, SO2"
2019-09-07,Navi Mumbai,3,Good,42,"CO, O3, SO2"
2019-09-07,Pune,1,Satisfactory,74,SO2
2019-09-08,Kalyan,1,Moderate,102,SO2
2019-09-08,Navi Mumbai,3,Good,44,"CO, O3, SO2"
2019-09-08,Pune,1,Satisfactory,74,SO2
2019-09-09,Hyderabad,6,Good,34,"PM10, PM2.5, SO2"
2019-09-09,Pune,1,Satisfactory,74,SO2
2019-09-10,Kalyan,1,Satisfactory,99,SO2
2019-09-10,Pune,1,Satisfactory,74,SO2
2019-09-10,Singrauli,1,Satisfactory,53,SO2
2019-09-11,Pune,1,Satisfactory,74,SO2
2019-09-12,Pune,1,Satisfactory,74,SO2
2019-09-13,Mumbai,8,Good,39,"CO, PM10, SO2"
2019-09-13,Pune,1,Satisfactory,74,SO2
2019-09-14,Pune,1,Satisfactory,74,SO2
2019-09-15,Kalyan,1,Good,37,SO2
2019-09-15,Pune,1,Satisfactory,74,SO2
2019-09-16,Mumbai,8,Good,44,"CO, PM10, SO2"
2019-09-16,Pune,1,Satisfactory,74,SO2
2019-09-17,Pune,1,Satisfactory,74,SO2
2019-09-18,Pune,1,Satisfactory,74,SO2
2019-09-19,Pune,1,Satisfactory,74,SO2
2019-09-22,Pune,1,Satisfactory,86,SO2
2019-09-23,Pune,1,Satisfactory,86,SO2
2019-09-24,Pune,1,Satisfactory,86,SO2
2019-09-25,Pune,1,Satisfactory,86,SO2
2019-09-25,Satna,1,Good,40,SO2
2019-09-26,Pune,1,Satisfactory,87,SO2
2019-09-27,Patna,1,Satisfactory,59,SO2
2019-09-27,Pune,1,Satisfactory,86,SO2
2019-09-28,Patna,1,Satisfactory,59,SO2
2019-09-28,Pune,1,Satisfactory,86,SO2
2019-09-28,Singrauli,1,Good,30,SO2
2019-09-29,Ambala,1,Good,36,SO2
2019-09-29,Patna,1,Satisfactory,59,SO2
2019-09-29,Pune,1,Satisfactory,86,SO2
2019-09-30,Pune,1,Satisfactory,86,SO2
2019-10-01,Ahmedabad,1,Moderate,114,SO2
2019-10-01,Patna,1,Satisfactory,67,SO2
2019-10-01,Pune,1,Satisfactory,86,SO2
2019-10-02,Pune,1,Satisfactory,86,SO2
2019-10-03,Pune,1,Satisfactory,85,SO2
2019-10-03,Singrauli,1,Good,44,SO2
2019-10-04,Pune,1,Satisfactory,86,SO2
2019-10-04,Singrauli,1,Good,48,SO2
2019-10-05,Pune,1,Satisfactory,86,SO2
2019-10-05,Thane,1,Good,48,SO2
2019-10-06,Hubballi,1,Good,33,SO2
2019-10-06,Pune,1,Satisfactory,86,SO2
2019-10-07,Pune,1,Satisfactory,86,SO2
2019-10-08,Pune,1,Satisfactory,86,SO2
2019-10-09,Haldia,1,Good,13,SO2
2019-10-09,Pune,1,Satisfactory,86,SO2
2019-10-10,Haldia,1,Good,15,SO2
2019-10-12,Pune,1,Satisfactory,86,SO2
2019-10-13,Pune,1,Satisfactory,86,SO2
2019-10-14,Pune,1,Satisfactory,85,SO2
2019-10-15,Hubballi,1,Good,35,SO2
2019-10-15,Thane,1,Satisfactory,94,SO2
2019-10-16,Thane,1,Satisfactory,81,SO2
2019-10-17,Thane,1,Satisfactory,72,SO2
2019-10-20,Pune,1,Satisfactory,86,SO2
2019-10-20,Thane,1,Satisfactory,59,SO2
2019-10-20,Visakhapatnam,1,Satisfactory,65,SO2
2019-10-21,Pune,1,Satisfactory,86,SO2
2019-10-22,Pune,1,Satisfactory,86,SO2
2019-10-23,Pune,1,Satisfactory,87,SO2
2019-10-24,Pune,1,Satisfactory,82,SO2
2019-10-24,Thane,1,Satisfactory,62,SO2
2019-10-25,Hubballi,1,Good,37,SO2
2019-10-25,Pune,1,Satisfactory,83,SO2
2019-10-26,Haldia,1,Good,15,SO2
2019-10-26,Pune,1,Satisfactory,83,SO2
2019-10-26,Ramanagara,1,Good,41,SO2
2019-10-26,Satna,1,Good,44,SO2
2019-10-26,Thane,1,Satisfactory,76,SO2
2019-10-27,Pune,1,Satisfactory,82,SO2
2019-10-27,Ramanagara,1,Good,44,SO2
2019-10-29,Pune,1,Satisfactory,99,SO2
2019-10-30,Pune,1,Moderate,101,SO2
2019-10-31,Pune,1,Satisfactory,100,SO2
2019-10-31,Ramanagara,1,Good,34,SO2
2019-10-31,Thane,1,Satisfactory,86,SO2
2019-11-01,Pune,1,Satisfactory,94,SO2
2019-11-01,Ramanagara,1,Good,39,SO2
2019-11-01,Thane,1,Satisfactory,87,SO2
2019-11-02,Mumbai,9,Good,43,"NO2, PM10, SO2"
2019-11-02,Pune,1,Satisfactory,92,SO2
2019-11-03,Ahmedabad,1,Moderate,119,SO2
2019-11-03,Mumbai,10,Satisfactory,69,"CO, PM10, SO2"
2019-11-03,Pune,1,Satisfactory,92,SO2
2019-11-04,Pune,1,Satisfactory,92,SO2
2019-11-05,Pune,1,Satisfactory,91,SO2
2019-11-06,Pune,1,Satisfactory,84,SO2
2019-11-07,Pune,1,Satisfactory,85,SO2
2019-11-08,Pune,1,Satisfactory,83,SO2
2019-11-09,Pune,1,Satisfactory,78,SO2
2019-11-10,Pune,1,Satisfactory,79,SO2
2019-11-21,Ahmedabad,1,Moderate,124,SO2
2019-12-01,Ahmedabad,1,Moderate,117,SO2
2019-12-01,Ramanagara,1,Good,36,SO2
2019-12-02,Ahmedabad,1,Moderate,116,SO2
2019-12-02,Ramanagara,1,Good,34,SO2
2019-12-03,Ahmedabad,1,Moderate,111,SO2
2019-12-03,Pune,1,Satisfactory,85,SO2
2019-12-03,Ramanagara,1,Good,36,SO2
2019-12-04,Pune,1,Satisfactory,85,SO2
2019-12-09,Eloor,1,Good,37,SO2
2019-12-13,Satna,1,Satisfactory,57,SO2
2019-12-18,Thane,1,Satisfactory,98,SO2
2019-12-24,Ramanagara,1,Satisfactory,59,SO2
2019-12-26,Mysuru,1,Good,43,SO2
2019-12-26,Thane,1,Satisfactory,84,SO2
2019-12-31,Ramanagara,1,Satisfactory,64,SO2
2020-01-02,Ramanagara,1,Satisfactory,52,SO2
2020-01-15,Sirsa,1,Good,50,SO2
2020-01-18,Chennai,4,Satisfactory,52,"CO, O3, SO2"
2020-01-19,Ramanagara,1,Good,27,SO2
2020-01-24,Thane,1,Satisfactory,75,SO2
2020-01-28,Sirsa,1,Satisfactory,56,SO2
2020-01-29,Pune,1,Satisfactory,83,SO2
2020-01-29,Thane,1,Good,48,SO2
2020-02-22,Sirsa,1,Satisfactory,54,SO2
2020-03-05,Sirsa,1,Satisfactory,54,SO2
2020-03-05,Talcher,1,Satisfactory,64,SO2
2020-03-06,Sirsa,1,Satisfactory,53,SO2
2020-03-06,Talcher,1,Satisfactory,62,SO2
2020-03-07,Sirsa,1,Good,41,SO2
2020-03-10,Amaravati,1,Good,33,SO2
2020-03-11,Ratlam,1,Moderate,117,SO2
2020-03-12,Talcher,1,Satisfactory,82,SO2
2020-03-13,Talcher,1,Satisfactory,82,SO2
2020-03-14,Singrauli,1,Good,48,SO2
2020-03-15,Ratlam,1,Moderate,118,SO2
2020-03-15,Singrauli,1,Satisfactory,71,SO2
2020-03-16,Ratlam,1,Satisfactory,82,SO2
2020-03-20,Varanasi,1,Satisfactory,75,SO2
2020-03-22,Mumbai,10,Satisfactory,54,"O3, PM10, SO2"
2020-03-22,Ratlam,1,Moderate,113,SO2
2020-03-22,Sirsa,1,Satisfactory,66,SO2
2020-03-23,Karnal,1,Satisfactory,92,SO2
2020-03-23,Mumbai,8,Satisfactory,64,"O3, PM10, SO2"
2020-03-23,Sirsa,1,Satisfactory,64,SO2
2020-03-24,Karnal,1,Satisfactory,97,SO2
2020-03-24,Sirsa,1,Satisfactory,67,SO2
2020-03-25,Karnal,1,Satisfactory,100,SO2
2020-03-25,Sirsa,1,Satisfactory,77,SO2
2020-03-26,Karnal,1,Moderate,101,SO2
2020-03-26,Sirsa,1,Satisfactory,85,SO2
2020-03-27,Bhiwadi,1,Good,28,SO2
2020-03-27,Bhiwani,1,Satisfactory,63,SO2
2020-03-27,Manesar,1,Good,40,SO2
2020-03-27,Sirsa,1,Satisfactory,92,SO2
2020-03-28,Manesar,1,Good,43,SO2
2020-03-28,Sirsa,1,Satisfactory,97,SO2
2020-03-29,Manesar,1,Good,46,SO2
2020-03-29,Sirsa,1,Satisfactory,96,SO2
2020-04-01,Manesar,1,Satisfactory,53,SO2
2020-04-02,Manesar,1,Satisfactory,56,SO2
2020-04-03,Manesar,1,Satisfactory,58,SO2
2020-04-04,Manesar,1,Satisfactory,58,SO2
2020-04-07,Bhiwani,1,Satisfactory,79,SO2
2020-04-08,Bhiwani,1,Satisfactory,84,SO2
2020-04-09,Bhiwani,1,Satisfactory,88,SO2
2020-04-10,Bhiwani,1,Satisfactory,78,SO2
2020-04-10,Ramanagara,1,Good,21,SO2
2020-04-11,Bhiwani,1,Satisfactory,82,SO2
2020-04-11,Chennai,4,Good,43,"O3, PM2.5, SO2"
2020-04-18,Karnal,1,Satisfactory,73,SO2
2020-04-25,Mumbai,8,Good,48,"PM10, SO2"
2020-04-26,Aizawl,1,Good,9,SO2
2020-04-26,Mumbai,8,Satisfactory,57,"O3, PM10, SO2"
2020-04-27,Mumbai,8,Satisfactory,52,"O3, PM10, SO2"
2020-04-27,Ramanagara,1,Good,24,SO2
2020-04-28,Mumbai,8,Satisfactory,53,"O3, PM10, SO2"
2020-04-29,Mumbai,8,Satisfactory,81,"O3, PM10, SO2"
2020-04-30,Mumbai,8,Satisfactory,60,"PM10, SO2"
2020-05-01,Mumbai,8,Satisfactory,51,"O3, PM10, SO2"
2020-05-02,Mumbai,8,Good,43,"O3, PM10, SO2"
2020-05-02,Varanasi,1,Good,42,SO2
2020-05-03,Mumbai,6,Good,40,"O3, PM10, SO2"
2020-05-03,Varanasi,1,Good,45,SO2
2020-05-04,Agra,1,Good,49,SO2
2020-05-04,Manesar,1,Good,50,SO2
2020-05-04,Mumbai,7,Good,37,"O3, PM10, SO2"
2020-05-08,Mumbai,7,Satisfactory,67,"PM10, SO2"
2020-05-08,Ramanagara,1,Satisfactory,63,SO2
2020-05-09,Mumbai,6,Satisfactory,65,"PM10, PM2.5, SO2"
2020-05-10,Mumbai,5,Satisfactory,64,"O3, PM10, SO2"
2020-05-11,Chandrapur,2,Good,48,"O3, SO2"
2020-05-11,Mumbai,4,Satisfactory,61,"O3, PM10, SO2"
2020-05-12,Mumbai,5,Satisfactory,67,"O3, PM10, SO2"
2020-05-13,Karnal,1,Satisfactory,95,SO2
2020-05-13,Mumbai,5,Satisfactory,67,"O3, PM10, SO2"
2020-05-14,Mumbai,6,Satisfactory,54,"PM10, PM2.5, SO2"
2020-05-15,Mumbai,6,Satisfactory,70,"PM10, PM2.5, SO2"
2020-05-27,Karnal,1,Satisfactory,87,SO2
2020-05-27,Varanasi,1,Moderate,111,SO2
2020-05-29,Vapi,1,Good,35,SO2
2020-05-31,Vapi,1,Good,31,SO2
2020-06-01,Panipat,1,Satisfactory,78,SO2
2020-06-02,Aizawl,1,Good,15,SO2
2020-06-02,Karnal,1,Satisfactory,82,SO2
2020-06-02,Ramanagara,1,Good,33,SO2
2020-06-03,Chandrapur,2,Good,34,"O3, SO2"
2020-06-03,Karnal,1,Satisfactory,90,SO2
2020-06-04,Aizawl,1,Good,15,SO2
2020-06-04,Karnal,1,Satisfactory,91,SO2
2020-06-04,Vapi,1,Good,34,SO2
2020-06-04,Varanasi,1,Satisfactory,66,SO2
2020-06-05,Vapi,1,Good,33,SO2
2020-06-05,Varanasi,1,Satisfactory,61,SO2
2020-06-06,Aizawl,1,Good,17,SO2
2020-06-06,Karnal,1,Moderate,102,SO2
2020-06-06,Mumbai,7,Good,30,"NO2, PM10, SO2"
2020-06-06,Shillong,1,Good,13,SO2
2020-06-06,Varanasi,1,Satisfactory,64,SO2
2020-06-07,Aizawl,1,Good,15,SO2
2020-06-07,Karnal,1,Moderate,104,SO2
2020-06-07,Vapi,1,Good,34,SO2
2020-06-08,Mumbai,8,Good,36,"CO, O3, SO2"
2020-06-09,Mumbai,8,Good,34,"CO, PM10, SO2"
2020-06-09,Vapi,1,Good,32,SO2
2020-06-10,Mumbai,8,Good,40,"CO, PM10, SO2"
