city,year,no_stations
Bilaspur,2022,1.0
Bilaspur,2023,1.0
Bilaspur,2024,1.0
Bilaspur,2025,1.0
Bileipada,2022,1.0
Bileipada,2023,1.0
Bileipada,2024,1.0
Bileipada,2025,1.0
Boisar,2024,1.0
Boisar,2025,1.0
Brajrajnagar,2018,1.0
Brajrajnagar,2019,1.0
Brajrajnagar,2020,1.0
Brajrajnagar,2021,1.0
Brajrajnagar,2022,1.0
Brajrajnagar,2023,1.0
Brajrajnagar,2024,1.0
Brajrajnagar,2025,1.0
Bulandshahr,2018,1.0
Bulandshahr,2019,1.0
Bulandshahr,2020,1.0
Bulandshahr,2021,1.0
Bulandshahr,2022,1.0
Bulandshahr,2023,1.0
Bulandshahr,2024,1.0
Bulandshahr,2025,1.0
Bundi,2023,1.0
Bundi,2024,1.0
Bundi,2025,1.0
Buxar,2021,1.0
Buxar,2022,1.0
Buxar,2024,1.0
Buxar,2025,1.0
Byasanagar,2023,1.0
Byasanagar,2024,1.0
Byasanagar,2025,1.0
Byrnihat,2022,1.0
Byrnihat,2023,1.0
Byrnihat,2024,1.0
Byrnihat,2025,1.0
Chamarajanagar,2020,1.0
Chamarajanagar,2021,1.0
Chamarajanagar,2022,1.0
Chamarajanagar,2023,1.0
Chamarajanagar,2024,1.0
Chamarajanagar,2025,1.0
Chandigarh,2019,1.0
Chandigarh,2020,1.0
Chandigarh,2021,1.3895027624309393
Chandigarh,2022,2.7857142857142856
Chandigarh,2023,2.8876712328767122
Chandigarh,2024,2.841530054644809
Chandigarh,2025,2.6777408637873754
Chandrapur,2015,1.0
Chandrapur,2016,1.2619047619047619
Chandrapur,2017,1.7409470752089136
Chandrapur,2018,1.6933701657458564
Chandrapur,2019,1.56797583081571
Chandrapur,2020,1.6961325966850829
Chandrapur,2021,1.8457300275482094
Chandrapur,2022,1.6986301369863013
Chandrapur,2023,1.0929577464788733
Chandrapur,2024,1.2704225352112677
Chandrapur,2025,1.7966666666666666
Charkhi Dadri,2020,1.0
Charkhi Dadri,2021,1.0
Charkhi Dadri,2022,1.0
Charkhi Dadri,2023,1.0
Charkhi Dadri,2024,1.0
Charkhi Dadri,2025,1.0
Chengalpattu,2022,1.0
Chengalpattu,2023,1.0
Chengalpattu,2024,1.0
Chengalpattu,2025,1.0
Chennai,2015,2.5201793721973096
Chennai,2016,2.39672131147541
Chennai,2017,2.74792243767313
Chennai,2018,2.4392265193370166
Chennai,2019,2.7527472527472527
Chennai,2020,4.0
Chennai,2021,6.66027397260274
Chennai,2022,7.2904109589041095
Chennai,2023,6.889807162534435
Chennai,2024,6.726775956284153
Chennai,2025,6.729372937293729
Chhal,2023,1.0
Chhal,2024,1.0
Chhal,2025,1.0
Chhapra,2021,1.0
Chhapra,2022,1.0
Chhapra,2023,1.0
Chhapra,2024,1.0
Chhapra,2025,1.0
Chikkaballapur,2018,1.0
Chikkaballapur,2019,1.0
Chikkaballapur,2020,1.0
Chikkaballapur,2021,1.0
Chikkaballapur,2022,1.0
Chikkaballapur,2023,1.0
Chikkaballapur,2024,1.0
Chikkaballapur,2025,1.0
Chikkamagaluru,2020,1.0
Chikkamagaluru,2021,1.0
Chikkamagaluru,2022,1.0
Chikkamagaluru,2023,1.0
Chikkamagaluru,2024,1.0
Chikkamagaluru,2025,1.0
Chittoor,2022,1.0
Chittoor,2023,1.0
Chittoor,2024,1.0
Chittoor,2025,1.0
Chittorgarh,2023,1.0
Chittorgarh,2024,1.0
Chittorgarh,2025,1.0
Churu,2023,1.0
Churu,2024,1.0
Churu,2025,1.0
Coimbatore,2019,1.0
Coimbatore,2020,1.0
Coimbatore,2021,1.0
Coimbatore,2022,1.0518518518518518
Coimbatore,2023,1.0
Coimbatore,2024,1.3593220338983052
Coimbatore,2025,1.665551839464883
Cuddalore,2023,1.5551020408163265
Cuddalore,2024,1.5517241379310345
Cuddalore,2025,1.6102941176470589
Cuttack,2023,1.0
Cuttack,2024,1.0
Cuttack,2025,1.0
Damoh,2019,1.0
Damoh,2020,1.0
Damoh,2021,1.0
Damoh,2022,1.0
Damoh,2023,1.0
Damoh,2024,1.0
Damoh,2025,1.0
Darbhanga,2021,1.0
