,S.No,City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated/ Total Stations,AQI,Category,Color Code,Possible Health Impacts
13,93,Hosur,Good,49,"PM
10",1/1,,,,
14,94,Howrah,Good,43,"PM
, CO
10",5/5,,,,
15,95,Hubballi,Good,35,"PM
10",1/2,,,,
16,96,Hyderabad,Satisfactory,63,"PM
, PM
2.5
10",10/14,,,,
17,97,Indore,Satisfactory,54,"PM
, PM
2.5
10",6/6,,,,
18,98,Jabalpur,Good,47,"O
, CO
3",3/4,,,,
19,99,Jaipur,Satisfactory,73,"NO
, PM
2
10",6/6,,,,
20,100,Jaisalmer,Moderate,105,"PM
10",1/1,,,,
1,101,Jalandhar,Good,42,"PM
10",1/1,,,,
2,102,Jalgaon,Satisfactory,58,"PM
10",1/1,,,,
3,103,Jalna,Satisfactory,57,"PM
10",1/1,,,,
4,104,Jalore,Moderate,118,"PM
10",1/1,,,,
5,105,Jhalawar,Satisfactory,55,"NO
2",1/1,,,,
6,106,Jhansi,Good,37,"PM
10",1/1,,,,
7,107,Jhunjhunu,Good,49,"PM
10",1/1,,,,
8,108,Jodhpur,Satisfactory,81,"PM
10",5/5,,,,
9,109,Jorapokhar,Satisfactory,59,"PM
10",1/1,,,,
10,110,Kadapa,Satisfactory,56,"PM
2.5",1/1,,,,
11,111,Kalaburagi,Good,36,CO,1/2,,,,
12,112,Kalyan,Satisfactory,71,"PM
10",1/2,,,,
13,113,Kanchipuram,Good,35,"PM
10",1/1,,,,
14,114,Kannur,Satisfactory,62,"PM
10",1/1,,,,
15,115,Kanpur,Satisfactory,51,"SO
, CO
2",2/4,,,,
16,116,Karauli,Good,32,CO,1/1,,,,
17,117,Karur,Satisfactory,72,CO,1/1,,,,
18,118,Katihar,Good,24,"PM
2.5",1/1,,,,
19,119,Katni,Good,47,"PM
10",1/1,,,,
20,120,Keonjhar,Satisfactory,52,CO,1/1,,,,
1,121,Khanna,Good,30,"PM
10",1/1,,,,
2,122,Khurja,Satisfactory,60,"PM
10",1/1,,,,
3,123,Kohima,Satisfactory,66,"SO
2",1/1,,,,
4,124,Kolhapur,Good,38,"PM
, PM
2.5
10",2/2,,,,
5,125,Kolkata,Good,47,"NO
2",6/7,,,,
6,126,Koppal,Good,36,"PM
10",1/1,,,,
7,127,Korba,Good,46,"PM
, PM
2.5
10",2/2,,,,
